	Genus	value1	value2	value3	value4
1	Bacteroides	1.200169338	-0.442894369	-0.376753442	-0.662843654
2	Fusobacterium	0.397456382	-0.187036993	-0.166167955	-0.150174657
3	Parabacteroides	0.330636531	0.10311985	-0.175840276	-0.359482332
4	Lachnospiraceae UCG-006	0.322846132	-0.356132841	0.269878642	-0.196718685
5	Roseburia	0.308196319	-0.394270642	0.277540219	-0.146886644
6	Bilophila	0.295982316	-0.243869658	-0.186772891	0.037175478
7	Lachnospira	0.277988657	-0.367706202	0.185988536	-0.075748229
8	Alistipes	0.277055882	-0.020820415	-0.099316757	-0.226481372
9	Lachnoclostridium	0.276087247	-0.181370382	-0.241057926	0.0345307
10	Ruminiclostridium 9	0.264420762	-0.101607658	-0.013885952	-0.189856936
11	Sutterella	0.235312896	-0.226315596	0.265847611	-0.224777599
12	Megamonas	0.225170944	-0.228051183	0.091015953	-0.090349741
13	Tyzzerella	0.219974325	-0.051433866	-0.092395775	-0.135281456
14	Paraprevotella	0.219108245	-0.167987761	0.146588142	-0.182426209
15	Oscillibacter	0.214262254	0.036231758	-0.079753272	-0.225825663
16	Parasutterella	0.211109589	-0.145954048	-0.04956583	-0.059618464
17	Phocea	0.198900023	-0.104356156	-0.0543667	-0.084258477
18	[Ruminococcus] gnavus group	0.18799236	-0.031714467	-0.29158499	0.019336066
19	Butyricimonas	0.168244998	0.060864022	-0.022184032	-0.237988379
20	Tyzzerella 3	0.16406399	-0.116643028	-0.073198734	-0.019073015
