	Genus	value1	value2	value3	value4
1	Prevotella	-0.369784519	-0.386020021	1.613184768	-0.306485489
2	Faecalibacterium	-0.068145707	-0.260961272	0.623359793	-0.09113411
3	[Eubacterium] ruminantium group	-0.13246942	-0.048850907	0.419510031	-0.090170087
4	Alloprevotella	-0.046033459	-0.104833525	0.403642168	-0.121449929
5	Lachnospiraceae NK4A136 group	0.097796406	-0.209069733	0.326213325	-0.126993907
6	Allisonella	-0.098301016	-0.096253462	0.291923665	0.00695423
7	Ruminococcaceae UCG-003	-0.064303592	0.144431449	0.290066565	-0.273012224
8	Coprococcus 2	-0.201186969	0.068603569	0.287562542	-0.038647645
9	Roseburia	0.308196319	-0.394270642	0.277540219	-0.146886644
10	Lachnospiraceae UCG-006	0.322846132	-0.356132841	0.269878642	-0.196718685
11	Lachnospiraceae UCG-001	0.02466544	-0.145611139	0.266827121	-0.066304701
12	Sutterella	0.235312896	-0.226315596	0.265847611	-0.224777599
13	Ruminococcus 1	-0.041653863	-0.019177099	0.260494405	-0.113576247
14	Dialister	-0.170776328	-0.041909096	0.218439649	0.085841263
15	Haemophilus	0.037362375	-0.210084897	0.213300013	0.021225042
16	Agathobacter	-0.099682468	-0.029866174	0.211766392	-0.002818366
17	Lachnospira	0.277988657	-0.367706202	0.185988536	-0.075748229
18	[Eubacterium] eligens group	0.09509393	-0.209856256	0.171740497	-0.016116163
19	GCA 900066575	0.031072028	-0.156919698	0.17037348	0.004585507
20	Prevotellaceae UCG-003	-0.094462964	0.031688778	0.167894857	-0.04039253
