Df	SumsOfSqs	MeanSqs	F.Model	R2	Pr(>F)
group	4	19.5085927517771	4.87714818794428	13.1637634235645	0.0324499366481986	1e-04
Residuals	1570	581.681879922386	0.370498012689418	NA	0.967550063351801	NA
Total	1574	601.190472674163	NA	NA	1	NA
