fc3	
400	2	0.802
401	2	0.446
402	2	0.852
403	2	0.81
404	2	0.462
405	2	0.554
406	2	0.63
407	2	0.366
408	1	0.41
409	1	0.748
410	1	0.674
411	1	0.734
412	1	0.178
413	1	0.66
414	1	0.814
415	1	0.236
416	1	0.584
417	1	0.62
418	1	0.294
419	1	0.942
420	1	0.16
421	1	0.604
422	1	0.406
423	1	0.332
424	1	0.172
425	1	0.22
426	1	0.276
427	1	0.328
428	1	0.16
429	1	0.254
430	1	0.246
431	1	0.462
432	2	0.84
433	2	0.746
434	2	0.428
435	2	0.97
436	2	0.766
437	2	0.982
438	2	0.968
439	2	0.7
440	2	0.702
441	2	0.726
442	2	0.766
443	2	0.782
444	2	0.918
445	2	0.652
446	2	0.92
447	2	0.842
448	2	0.832
449	2	0.824
450	2	0.606
451	2	0.93
452	2	0.81
453	2	0.756
454	2	0.968
455	2	0.896
456	2	0.472
457	2	0.828
458	1	0.44
459	1	0.356
460	1	0.766
461	1	0.208
462	1	0.202
463	1	0.55
464	1	0.242
465	1	0.06
466	1	0.15
467	1	0.396
468	1	0.146
469	1	0.318
470	1	0.304
471	1	0.64
472	1	0.718
473	1	0.298
474	1	0.182
475	1	0.168
476	1	0.154
477	1	0.332
478	1	0.354
479	1	0.324
480	1	0.482
481	1	0.172
482	1	0.3
483	1	0.3
484	2	0.742
485	2	0.768
486	2	0.86
487	2	0.6
488	2	0.728
489	2	0.962
490	2	0.72
491	2	0.502
492	2	0.876
493	2	0.404
494	2	0.86
495	2	0.896
496	2	0.696
497	2	0.984
498	2	0.894
499	2	0.762
500	2	0.828
501	2	0.78
502	2	0.666
503	2	0.648
504	2	0.742
505	2	0.844
506	2	0.632
507	2	0.74
