fc1	
1	1	0.39
2	1	0.074
3	1	0.172
4	1	0.04
5	1	0.14
6	1	0.076
7	1	0.174
8	1	0.008
9	1	0.048
10	1	0.726
11	1	0.224
12	1	0.048
13	1	0.098
14	1	0.446
15	1	0.17
16	1	0.046
17	1	0.056
18	1	0.6
19	1	0.054
20	1	0.104
21	1	0.066
22	2	0.314
23	2	0.816
24	2	0.736
25	2	0.868
26	2	0.514
27	2	0.984
28	2	0.732
29	2	0.964
30	2	0.88
31	2	0.682
32	2	0.612
33	2	0.954
34	2	0.956
35	2	0.944
36	2	0.892
37	2	0.88
38	2	0.944
39	2	0.562
40	2	0.648
41	2	0.9
42	2	0.634
43	2	0.906
44	2	0.932
45	2	0.992
46	2	0.62
47	2	0.354
48	1	0.426
49	1	0.144
50	1	0.126
51	1	0.194
52	1	0.156
53	1	0.362
54	1	0.036
55	1	0.118
56	1	0.262
57	1	0.268
58	1	0.12
59	1	0.248
60	1	0.406
61	1	0.098
62	1	0.13
63	1	0.218
64	1	0.46
65	1	0.478
66	1	0.298
67	1	0.302
68	1	0.662
69	1	0.124
70	1	0.34
71	1	0.284
72	2	0.69
73	2	0.892
74	2	0.988
75	2	0.45
76	2	0.582
77	2	0.94
78	2	0.952
79	2	0.554
80	2	0.89
81	2	0.796
82	2	0.724
83	2	0.96
84	2	0.868
85	2	0.804
86	2	0.562
87	2	0.918
88	2	0.86
89	2	0.75
90	2	0.93
91	2	0.442
92	2	0.624
93	2	0.732
94	1	0.072
95	1	0.56
96	1	0.24
97	1	0.304
98	1	0.242
99	1	0.128
100	1	0.09
101	1	0.106
102	1	0.024
103	1	0.25
104	1	0.254
105	1	0.198
106	1	0.032
107	1	0.244
108	1	0.248
109	1	0.312
110	1	0.182
111	1	0.564
112	1	0.156
113	2	0.87
114	2	0.562
115	2	0.754
116	2	0.45
117	2	0.904
118	2	0.774
119	2	0.846
120	2	0.902
121	2	0.98
122	2	0.838
123	2	0.708
124	2	0.612
125	2	0.478
126	2	0.726
127	2	0.834
128	2	0.922
129	2	0.464
130	2	0.738
131	2	0.866
132	2	0.918
133	2	0.948
134	2	0.802
135	2	0.416
136	2	0.486
137	2	0.994
138	2	0.58
139	2	0.698
140	1	0.01
141	1	0.064
142	1	0.09
143	1	0.502
144	1	0.344
145	1	0.682
146	1	0.142
147	1	0.098
148	1	0.562
149	1	0.084
150	1	0.444
151	1	0.098
152	1	0.144
153	1	0.046
154	1	0.086
155	1	0.016
156	1	0.192
157	1	0.42
158	2	0.876
159	2	0.622
160	2	0.652
161	2	0.602
162	2	0.962
163	2	0.94
164	2	0.718
165	2	0.708
166	2	0.956
167	2	0.896
168	2	0.902
169	2	0.982
170	2	0.9
171	2	0.97
172	2	0.978
173	2	0.976
174	2	0.768
175	2	0.946
176	2	0.974
177	2	0.86
178	2	0.69
179	2	0.85
180	2	0.934
181	2	0.558
182	2	0.496
183	2	0.482
184	2	0.99
185	2	0.504
186	2	0.526
187	2	0.964
188	1	0.02
189	1	0.178
190	1	0.922
191	1	0.558
192	1	0.418
193	1	0.534
194	1	0.068
195	1	0.042
196	1	0.11
197	1	0.528
198	1	0.04
199	1	0.198
200	1	0.11
201	1	0.61
202	1	0.046
203	1	0.502
204	1	0.448
205	1	0.678
206	1	0.596
207	1	0.932
208	2	0.954
209	2	0.766
210	2	0.866
211	2	0.664
212	2	0.9
213	2	0.704
214	2	0.798
215	2	0.86
216	2	0.642
217	2	0.874
218	2	0.664
219	2	0.952
220	2	0.902
221	2	0.966
222	2	0.992
223	2	0.52
224	2	0.542
225	2	0.988
226	2	0.86
227	2	0.698
228	2	0.43
229	2	0.692
230	2	0.818
231	2	0.934
232	1	0.222
233	1	0.702
234	1	0.526
235	1	0.058
236	1	0.188
237	1	0.21
238	1	0.286
239	1	0.238
240	1	0.068
241	1	0.174
242	1	0.06
243	1	0.122
244	1	0.368
245	1	0.746
246	1	0.572
247	1	0.11
248	1	0.562
249	1	0.008
250	1	0.152
251	1	0.138
252	1	0.322
253	1	0.464
254	1	0.022
255	1	0.216
256	1	0.134
257	1	0.596
258	1	0.098
259	1	0.454
260	2	0.954
261	2	0.474
262	2	0.77
263	2	0.904
264	2	1
265	2	0.42
266	2	0.576
267	2	0.976
268	2	0.934
269	2	0.936
270	2	0.924
271	2	0.968
272	2	0.972
273	2	0.988
274	2	0.93
275	2	0.64
276	2	0.968
277	2	0.918
278	2	0.362
279	1	0.064
280	1	0.186
281	1	0.024
282	1	0.222
283	1	0.054
284	1	0.048
285	1	0.35
286	1	0.096
287	1	0.088
288	1	0.094
289	1	0.442
290	1	0.136
291	1	0.416
292	1	0.306
293	1	0.078
294	1	0.034
295	1	0.368
296	1	0.326
297	1	0.036
298	1	0.376
299	1	0.42
300	1	0.49
301	1	0.166
302	2	0.768
303	2	0.934
304	2	0.514
305	2	0.434
306	2	0.916
307	2	0.376
308	2	0.912
309	2	0.64
310	2	0.424
311	2	0.648
312	2	0.882
313	2	0.912
314	2	0.706
315	2	0.932
316	2	0.742
317	2	0.756
318	2	0.846
319	2	0.874
320	2	0.516
321	2	0.8
322	2	0.578
323	2	0.362
324	2	0.76
325	1	0.196
326	1	0.182
327	1	0.734
328	1	0.424
329	1	0.216
330	1	0.014
331	1	0.322
332	1	0.368
333	1	0.29
334	1	0.024
335	1	0.014
336	1	0.094
337	1	0.952
338	1	0.076
339	1	0.388
340	1	0.04
341	1	0.554
342	1	0.302
343	1	0.012
344	1	0.332
345	1	0.418
346	1	0.252
347	1	0.374
348	2	0.83
349	2	0.928
350	2	0.882
351	2	0.896
352	2	0.766
353	2	0.584
354	2	0.442
355	2	0.8
356	2	0.744
357	2	0.834
358	2	0.944
359	2	0.252
360	2	0.996
361	2	0.806
362	2	0.92
363	2	0.442
364	2	0.652
365	2	0.848
366	2	0.886
367	2	0.586
368	2	0.9
369	2	0.966
370	2	0.952
371	2	0.936
372	1	0.076
373	1	0.1
374	1	0.396
375	1	0.042
376	1	0.19
377	1	0.598
378	1	0.48
379	1	0.098
380	1	0.18
381	1	0.314
382	1	0.06
383	1	0.096
384	1	0.184
385	1	0.28
386	1	0.224
387	1	0.136
388	1	0.092
389	1	0.818
390	1	0.32
391	1	0.674
392	1	0.672
393	2	0.794
394	2	0.504
395	2	0.938
396	2	0.902
397	2	0.98
398	2	0.55
399	2	0.982
400	2	0.82
401	2	0.786
402	2	0.942
403	2	0.76
404	2	0.838
405	2	0.616
406	2	0.93
407	2	0.818
408	2	0.756
409	2	0.95
410	2	0.908
411	2	0.77
412	2	0.944
413	2	0.508
414	2	0.958
415	2	0.97
416	2	0.394
417	1	0.466
418	1	0.342
419	1	0.102
420	1	0.322
421	1	0.048
422	1	0.012
423	1	0.146
424	1	0.266
425	1	0.322
426	1	0.176
427	1	0.218
428	1	0.098
429	1	0.042
430	1	0.064
431	1	0.598
432	1	0.218
433	1	0.31
434	1	0.612
435	1	0.828
436	1	0.23
437	1	0.07
438	1	0.036
439	1	0.324
440	1	0.066
441	1	0.126
442	2	0.97
443	2	0.844
444	2	0.894
445	2	0.802
446	2	0.946
447	2	0.912
448	2	0.256
449	2	0.84
450	2	0.736
451	2	0.706
452	2	0.786
453	2	0.89
454	2	0.942
455	2	0.51
456	2	0.926
457	2	0.432
458	2	0.93
459	2	0.984
460	2	0.946
461	2	0.602
462	2	0.732
